status,n,seed,generator,graph_sha256,edges,alpha0,alpha0_floor,alpha0_phase,log2_mu_alpha0_floor,log_mu_alpha_over_log_n,alpha,omega,chi,zeta,gap,chi_profile,zeta_profile,maximal_independent_sets,maximal_cliques,enumeration_nodes,chi_search_nodes,zeta_search_nodes,chi_initial_lower_bound,chi_greedy_upper_bound,zeta_initial_lower_bound,zeta_greedy_upper_bound,enumeration_seconds,chi_seconds,zeta_seconds,total_seconds,complement_checked,error
exact,12,0,splitmix64-v1/high-bit/p=1/2,ac61c2a89e7bb74098b7bde2537b4dd92131f108c023865a9ad25a63c1eeb0a8,32,5.371399026847927,5,0.3713990268479268,-0.37064337992039403,-0.10338835618108554,4,4,4,4,0,"[[""I"",4],[""I"",3],[""I"",3],[""I"",2]]","[[""C"",3],[""I"",3],[""I"",3],[""I"",3]]",16,14,64,5,24,4,5,3,4,0.000097800,0.000142800,0.000239900,0.001643900,True,
exact,12,1,splitmix64-v1/high-bit/p=1/2,e1ae12685385152f6d688e697dd9191c15e731bac4f4baf6ad789fdb69622121,38,5.371399026847927,5,0.3713990268479268,-0.37064337992039403,-0.10338835618108554,4,4,4,4,0,"[[""I"",3],[""I"",3],[""I"",3],[""I"",3]]","[[""C"",3],[""C"",3],[""C"",2],[""I"",4]]",14,17,70,0,22,4,4,3,4,0.000081400,0.000037700,0.000203900,0.001186700,True,
exact,12,2,splitmix64-v1/high-bit/p=1/2,6c0ccc58ab9021206722f7fa6bf114468563968762bc1712990b2e048c04ca3e,31,5.371399026847927,5,0.3713990268479268,-0.37064337992039403,-0.10338835618108554,4,4,4,4,0,"[[""I"",4],[""I"",3],[""I"",3],[""I"",2]]","[[""C"",3],[""I"",3],[""I"",3],[""I"",3]]",15,18,67,0,17,4,4,3,4,0.000072000,0.000039500,0.000183800,0.001199400,True,
exact,14,0,splitmix64-v1/high-bit/p=1/2,accb8d0c5ed2687daf0c9a5011c34f987a9b4228a83b634ff2268aaf49519798,45,5.642521797164362,5,0.6425217971643624,0.967226258835996,0.2540415271590386,4,5,5,4,1,"[[""I"",4],[""I"",3],[""I"",3],[""I"",2],[""I"",2]]","[[""C"",4],[""I"",4],[""I"",3],[""I"",3]]",25,20,94,0,9,5,5,3,4,0.000116300,0.000063100,0.000147700,0.001382700,True,
exact,14,1,splitmix64-v1/high-bit/p=1/2,8b0b1e085c67a5af822fc34c90340c0bbb2a1e7036c5559fa79e0c1cdda4e5ec,53,5.642521797164362,5,0.6425217971643624,0.967226258835996,0.2540415271590386,4,5,5,4,1,"[[""I"",4],[""I"",3],[""I"",3],[""I"",2],[""I"",2]]","[[""C"",4],[""C"",4],[""C"",3],[""I"",3]]",19,26,100,7,9,5,6,3,4,0.000104900,0.000119800,0.000150900,0.001479700,True,
exact,14,2,splitmix64-v1/high-bit/p=1/2,a843c1d3c8c2db4e22516e1594e1e5447956d043690679c3427448ced58050cf,44,5.642521797164362,5,0.6425217971643624,0.967226258835996,0.2540415271590386,4,4,5,4,1,"[[""I"",3],[""I"",3],[""I"",3],[""I"",3],[""I"",2]]","[[""C"",4],[""C"",3],[""I"",4],[""I"",3]]",21,22,97,10,0,4,6,4,4,0.000108000,0.000164300,0.000074300,0.001312000,True,
exact,16,0,splitmix64-v1/high-bit/p=1/2,152e1bcf5ec6f14fd7c247b44e332f50b0bcf32afa23cef0aaa404902879f944,59,5.885390081777927,5,0.8853900817779268,2.092757140919852,0.523189285229963,5,4,5,5,0,"[[""I"",4],[""I"",3],[""I"",3],[""I"",3],[""I"",3]]","[[""C"",3],[""C"",3],[""C"",3],[""I"",4],[""I"",3]]",33,38,141,4,57,4,5,4,5,0.000162000,0.000122600,0.000775600,0.003188000,True,
exact,16,1,splitmix64-v1/high-bit/p=1/2,523c9c6f1e92e969965734e576ec353dd1e54427c2a690e3710ac92e202db3e1,68,5.885390081777927,5,0.8853900817779268,2.092757140919852,0.523189285229963,4,6,6,4,2,"[[""I"",4],[""I"",3],[""I"",3],[""I"",2],[""I"",2],[""I"",2]]","[[""C"",5],[""C"",4],[""C"",4],[""C"",3]]",25,32,128,0,11,6,6,3,4,0.000139600,0.000078700,0.000188100,0.001613600,True,
exact,16,2,splitmix64-v1/high-bit/p=1/2,70014c3b91b56a932151885beb5edea642c37c1a5a109ebc4cc03c77f0706f62,60,5.885390081777927,5,0.8853900817779268,2.092757140919852,0.523189285229963,5,5,5,5,0,"[[""I"",4],[""I"",3],[""I"",3],[""I"",3],[""I"",3]]","[[""C"",3],[""C"",3],[""I"",4],[""I"",3],[""I"",3]]",30,34,128,7,215,5,6,4,5,0.000144200,0.000155000,0.004663100,0.009154300,True,
exact,18,0,splitmix64-v1/high-bit/p=1/2,f0de72c347abab4b84c383b773e8f9fe38bf573cb6155639d7cefb01d29938d2,74,6.105197212296422,6,0.10519721229642176,-0.8197800178298097,-0.19659346811903344,5,5,5,5,0,"[[""I"",4],[""I"",4],[""I"",4],[""I"",3],[""I"",3]]","[[""C"",4],[""C"",3],[""C"",3],[""I"",4],[""I"",4]]",47,36,164,0,158,5,5,4,5,0.000234500,0.000150200,0.003302600,0.009148700,True,
exact,18,1,splitmix64-v1/high-bit/p=1/2,bdeb31cb5b9b1009a52ff5e09372eac09e6d204bc9ceede4b7334eb0dd59586e,83,6.105197212296422,6,0.10519721229642176,-0.8197800178298097,-0.19659346811903344,4,5,6,4,2,"[[""I"",3],[""I"",3],[""I"",3],[""I"",3],[""I"",3],[""I"",3]]","[[""C"",5],[""C"",5],[""C"",4],[""C"",4]]",43,43,171,26,5,5,7,4,5,0.000520400,0.000606200,0.000308800,0.004890700,True,
exact,18,2,splitmix64-v1/high-bit/p=1/2,392f0d3488164e48c2571a1f832efc5fcf6aec31db1fec03768755c1b7a9aaa8,75,6.105197212296422,6,0.10519721229642176,-0.8197800178298097,-0.19659346811903344,5,5,5,5,0,"[[""I"",4],[""I"",4],[""I"",4],[""I"",3],[""I"",3]]","[[""C"",4],[""C"",4],[""I"",4],[""I"",3],[""I"",3]]",43,40,175,13,95,5,6,4,5,0.000400800,0.000336100,0.004690800,0.010811800,True,
exact,20,0,splitmix64-v1/high-bit/p=1/2,390c7d9da19f6f2b92defb681086baac843f640a47afe080b310771951eebe55,97,6.30589613179102,6,0.3058961317910196,0.24228095030244368,0.05605853336362783,5,6,6,5,1,"[[""I"",4],[""I"",4],[""I"",3],[""I"",3],[""I"",3],[""I"",3]]","[[""C"",5],[""C"",4],[""I"",4],[""I"",4],[""I"",3]]",47,47,212,7,185,6,7,4,5,0.001497300,0.000327400,0.005599300,0.015969800,True,
